comment,clean_comment,label,platform,timestamp
"Maxie ini yg lagi viral dikota saya,sampai2 udh berpuluhn org yg jd resellerny😂",maxie ini yg lagi viral dikota sayasampai2 udh berpuluhn org yg jd resellerny,netral,Instagram,2026-04-10 05:45:03
klo kalian mau kulit kalian bagus dan putih cara nya mudah bgt.cara y adalah air wudhu😁,klo kalian mau kulit kalian bagus dan putih cara nya mudah bgtcara y adalah air wudhu,positif,Instagram,2026-03-25 09:21:03
"Jangan percaya iklan, ini cuma overclaim doang harganya mahal.","jangan percaya iklan, ini cuma overclaim doang harganya mahal.",negatif,TikTok,2026-04-10 04:15:03
"Gak nyesel beli ini, harganya worth it banget sama kualitasnya.","gak nyesel beli ini, harganya worth it banget sama kualitasnya.",positif,Instagram,2026-03-29 16:25:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,TikTok,2026-04-10 10:37:03
"Videonya seru banget, pembahasannya menarik dan bener-bener nambah wawasan, apalagi soal skincare dan dunia kecantikan. Tasya bawainnya santai tapi tetap informatif, bikin betah nonton sampai habis. Narasumbernya juga keren, penjelasannya detail tapi gampang dipahami. Topik kayak gini penting banget buat kita yang peduli sama produk kecantikan dan kesehatan kulit. Semangat terus bikin konten kayak gini, Tasya! Ditunggu episode Talksya berikutnya!",videonya seru banget pembahasannya menarik dan benerbener nambah wawasan apalagi soal skincare dan dunia kecantikan tasya bawainnya santai tapi tetap informatif bikin betah nonton sampai habis narasumbernya juga keren penjelasannya detail tapi gampang dipahami topik kayak gini penting banget buat kita yang peduli sama produk kecantikan dan kesehatan kulit semangat terus bikin konten kayak gini tasya ditunggu episode talksya berikutnya,positif,TikTok,2026-04-16 03:14:03
kak mesi semakin cantik de,kak mesi semakin cantik de,netral,TikTok,2026-04-11 03:16:03
Dok tlng review produknya xi xiu dong,dok tlng review produknya xi xiu dong,netral,TikTok,2026-04-12 12:28:03
"aku kira tasya ngebela DRL, tapi pas liat doktif di undang ke sini berarti tidaaaak baby😊😅",aku kira tasya ngebela drl tapi pas liat doktif di undang ke sini berarti tidaaaak baby,netral,Instagram,2026-03-28 22:23:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,X (Twitter),2026-03-24 20:28:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,X (Twitter),2026-04-05 07:50:03
pulau777 Selalu 😂😂😂 bahagiaaaa,pulau777 selalu  bahagiaaaa,netral,TikTok,2026-04-08 08:35:03
"Jangan percaya iklan, ini cuma overclaim doang harganya mahal.","jangan percaya iklan, ini cuma overclaim doang harganya mahal.",negatif,X (Twitter),2026-04-18 04:00:03
dari luar kelihatan dr richard terus diserang di market yang sama,dari luar kelihatan dr richard terus diserang di market yang sama,netral,X (Twitter),2026-04-03 09:53:03
"Kapok beli skincare ini, mending beli brand lain yang lebih jujur.","kapok beli skincare ini, mending beli brand lain yang lebih jujur.",negatif,TikTok,2026-03-31 16:39:03
bikin part 2 nya dong dok  di guardian atau carrefour ,bikin part 2 nya dong dok  di guardian atau carrefour ,netral,Instagram,2026-03-30 10:21:03
yang konon punya jet itu bukan????🤔,yang konon punya jet itu bukan,netral,TikTok,2026-04-10 08:59:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,Instagram,2026-03-26 10:13:03
Undang bosnya Paragon donk,undang bosnya paragon donk,netral,TikTok,2026-04-17 07:00:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,X (Twitter),2026-04-09 22:54:03
"Oh, jadi strategi marketingnya serang produk orang lain dulu biar produknya sendiri kelihatan paling bener ya?",oh jadi strategi marketingnya serang produk orang lain dulu biar produknya sendiri kelihatan paling bener ya,netral,X (Twitter),2026-04-18 11:11:03
Produknya original dan cocok di kulit aku yang sensitif.,produknya original dan cocok di kulit aku yang sensitif.,positif,X (Twitter),2026-04-15 14:50:03
Dok coba review skin care almera,dok coba review skin care almera,netral,Instagram,2026-04-09 09:53:03
"Jangan percaya iklan, ini cuma overclaim doang harganya mahal.","jangan percaya iklan, ini cuma overclaim doang harganya mahal.",negatif,Instagram,2026-04-11 18:45:03
Produknya original dan cocok di kulit aku yang sensitif.,produknya original dan cocok di kulit aku yang sensitif.,positif,Instagram,2026-03-21 04:52:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,Instagram,2026-03-25 04:32:03
cantik banget sih dok,cantik banget sih dok,netral,Instagram,2026-03-26 19:24:03
Merek apa itu ya.,merek apa itu ya,netral,X (Twitter),2026-04-07 12:35:03
"IKLAN YG DIKEMAS LEBIH ""BERILMU""",iklan yg dikemas lebih berilmu,netral,X (Twitter),2026-03-20 12:52:03
Muka aku malah jadi breakout parah setelah pake ini.,muka aku malah jadi breakout parah setelah pake ini.,negatif,TikTok,2026-03-27 05:48:03
katanyasayang,katanyasayang,netral,X (Twitter),2026-03-30 14:17:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,Instagram,2026-04-10 06:32:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,X (Twitter),2026-04-18 01:34:03
aku 2026 gak kerasa ya udah mau 2026 ,aku 2026 gak kerasa ya udah mau 2026 ,netral,Instagram,2026-03-30 10:41:03
Dok review produk bpo dong,dok review produk bpo dong,netral,Instagram,2026-04-19 20:30:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,Instagram,2026-03-25 04:12:03
komisikomisi cantik,komisikomisi cantik,netral,Instagram,2026-03-27 00:48:03
Produknya original dan cocok di kulit aku yang sensitif.,produknya original dan cocok di kulit aku yang sensitif.,positif,X (Twitter),2026-04-07 08:28:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,X (Twitter),2026-03-23 14:02:03
kakak maisi cantik bgt,kakak maisi cantik bgt,netral,TikTok,2026-04-07 20:34:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,X (Twitter),2026-03-25 22:53:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,X (Twitter),2026-04-15 20:00:03
Muka aku malah jadi breakout parah setelah pake ini.,muka aku malah jadi breakout parah setelah pake ini.,negatif,Instagram,2026-04-19 09:55:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,TikTok,2026-04-03 17:17:03
"@barbiessimphony  KFskin itu merk skinker yg diomongin doktif, laris manis di Jawatimur dan mempunyai kandungan mercury tertinggi. Dulu banget sudah pernah punya kasus yg sama dengan merk LC beauty, tapi ya gitu deh.. alibi itu produk palsu dan ganti merk ganti elcy beauty, sama KF skin. Dan kenyataannya tetep memiliki kandungan berbahaya. 

Owner-nya hobi flexing, ya flexing kekayaan iya...ya flexing berbagi iya...ngebranding diri sebagai orang baik, dermawan, dan suka berbagi.. padahal uangnya hasil jual produk berbahaya, menipu korban. Tapi.. ya.. susah kalau udah brandingnya suka berbagi, mau seharam apapun duitnya tetep akan dianggap baik.","barbiessimphony  kfskin itu merk skinker yg diomongin doktif laris manis di jawatimur dan mempunyai kandungan mercury tertinggi dulu banget sudah pernah punya kasus yg sama dengan merk lc beauty tapi ya gitu deh alibi itu produk palsu dan ganti merk ganti elcy beauty sama kf skin dan kenyataannya tetep memiliki kandungan berbahaya 

ownernya hobi flexing ya flexing kekayaan iyaya flexing berbagi iyangebranding diri sebagai orang baik dermawan dan suka berbagi padahal uangnya hasil jual produk berbahaya menipu korban tapi ya susah kalau udah brandingnya suka berbagi mau seharam apapun duitnya tetep akan dianggap baik",netral,X (Twitter),2026-04-02 08:44:03
"Wajib dicoba—❤MINI1221🔴 nagihnya elegan: grafis kece, alur enak, feel-nya ngangkat mood! ✨",wajib dicobamini1221 nagihnya elegan grafis kece alur enak feelnya ngangkat mood ,netral,TikTok,2026-03-28 10:21:03
eh emang wangi mbak aku juga pake moist itu lohh,eh emang wangi mbak aku juga pake moist itu lohh,netral,X (Twitter),2026-03-30 22:03:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,X (Twitter),2026-03-30 02:24:03
"Kalian itu dokter seharusnya ada Rahasia dokter agar semua dokter berwibawa,doktif iri dng kekayaan orang lain....bukannya marketing Toktok kamu😅tuh para hacker....buktikan dpt duit 1M....tapi di umumkan ya....jng diem2 klu dpt duitnya😅.....buk teman mu aja bagus kok km wajahnya bgtu jng2 kamu ada diabetes",kalian itu dokter seharusnya ada rahasia dokter agar semua dokter berwibawadoktif iri dng kekayaan orang lainbukannya marketing toktok kamutuh para hackerbuktikan dpt duit 1mtapi di umumkan yajng diem2 klu dpt duitnyabuk teman mu aja bagus kok km wajahnya bgtu jng2 kamu ada diabetes,positif,TikTok,2026-03-31 04:28:03
jessica semangatin slime glowing kamu ya,jessica semangatin slime glowing kamu ya,netral,Instagram,2026-04-18 14:18:03
apaan sih ikutin trend   gua  gua  kan nggak suka sama lu,apaan sih ikutin trend   gua  gua  kan nggak suka sama lu,netral,X (Twitter),2026-04-06 18:05:03
"Jangan percaya iklan, ini cuma overclaim doang harganya mahal.","jangan percaya iklan, ini cuma overclaim doang harganya mahal.",negatif,X (Twitter),2026-03-23 14:19:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,Instagram,2026-04-13 08:35:03
Telat 5 menit,telat 5 menit,netral,Instagram,2026-03-31 20:57:03
kakak aku mawu beli ya kakak jupo,kakak aku mawu beli ya kakak jupo,netral,Instagram,2026-04-08 16:23:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,TikTok,2026-04-08 15:38:03
Muka aku malah jadi breakout parah setelah pake ini.,muka aku malah jadi breakout parah setelah pake ini.,negatif,X (Twitter),2026-04-10 20:00:03
Padahal GYM aja udah mantep sih 😅,padahal gym aja udah mantep sih ,netral,X (Twitter),2026-04-02 23:54:03
"Gak nyesel beli ini, harganya worth it banget sama kualitasnya.","gak nyesel beli ini, harganya worth it banget sama kualitasnya.",positif,Instagram,2026-04-07 13:10:03
"Coba MsGlow, bagaimana reputasinya",coba msglow bagaimana reputasinya,netral,X (Twitter),2026-03-22 00:57:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,X (Twitter),2026-03-20 17:19:03
"Jangan percaya iklan, ini cuma overclaim doang harganya mahal.","jangan percaya iklan, ini cuma overclaim doang harganya mahal.",negatif,X (Twitter),2026-04-14 00:46:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,Instagram,2026-04-15 13:55:03
"Efeknya langsung kerasa di pemakaian pertama, mantap!","efeknya langsung kerasa di pemakaian pertama, mantap!",positif,Instagram,2026-04-11 22:00:03
aku kemakan krn dia dokter n termasuk flexing juga sih,aku kemakan krn dia dokter n termasuk flexing juga sih,netral,X (Twitter),2026-04-03 11:29:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,X (Twitter),2026-04-13 11:47:03
kaaak meysi coba bikin slem dari kalei dong subscribe dan like kak pelis ,kaaak meysi coba bikin slem dari kalei dong subscribe dan like kak pelis ,netral,X (Twitter),2026-04-02 23:14:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,TikTok,2026-04-01 17:28:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,TikTok,2026-04-16 16:18:03
Produknya original dan cocok di kulit aku yang sensitif.,produknya original dan cocok di kulit aku yang sensitif.,positif,Instagram,2026-03-27 22:30:03
kak  aku juga   punya  tapi  punyaku   warnanya   ungu,kak  aku juga   punya  tapi  punyaku   warnanya   ungu,netral,X (Twitter),2026-04-19 20:12:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,Instagram,2026-03-29 16:44:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,X (Twitter),2026-04-20 08:07:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,TikTok,2026-03-22 00:51:03
kaka sama dong aku jugapuya,kaka sama dong aku jugapuya,netral,TikTok,2026-03-26 04:28:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,TikTok,2026-04-11 04:18:03
Flomy bpom bneran g ya dok,flomy bpom bneran g ya dok,netral,Instagram,2026-04-02 22:10:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,TikTok,2026-03-21 12:30:03
"Dok.
Atasi flek Hitam di hidung gimana..ya Dok.. susah ilang Nya..mcm menjamur di dlm kulit..😥 ada solusi dok..makasih...","dok
atasi flek hitam di hidung gimanaya dok susah ilang nyamcm menjamur di dlm kulit ada solusi dokmakasih",netral,Instagram,2026-03-23 03:12:03
kakak aku punya enggak boongbeneran sumpah,kakak aku punya enggak boongbeneran sumpah,netral,TikTok,2026-04-15 03:52:03
"Bukannya dulu si dr Richard juga begini bongkar-bongkar skincare ya, trus malah jd pelaku juga kah??",bukannya dulu si dr richard juga begini bongkarbongkar skincare ya trus malah jd pelaku juga kah,netral,Instagram,2026-04-05 08:04:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,TikTok,2026-04-16 21:09:03
semangat doktif,semangat doktif,netral,X (Twitter),2026-04-15 04:07:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,TikTok,2026-03-27 10:44:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,TikTok,2026-03-28 06:00:03
"Efeknya langsung kerasa di pemakaian pertama, mantap!","efeknya langsung kerasa di pemakaian pertama, mantap!",positif,Instagram,2026-04-08 14:18:03
"Efeknya langsung kerasa di pemakaian pertama, mantap!","efeknya langsung kerasa di pemakaian pertama, mantap!",positif,Instagram,2026-04-15 22:58:03
Katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,negatif,TikTok,2026-04-04 00:14:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,TikTok,2026-03-30 02:52:03
dok tolong dong skincare buat yang mukanya berminyak dan pori pori besar,dok tolong dong skincare buat yang mukanya berminyak dan pori pori besar,netral,TikTok,2026-03-27 14:31:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,Instagram,2026-04-14 14:36:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,X (Twitter),2026-03-31 22:46:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,X (Twitter),2026-03-25 17:37:03
"Barangnya cepat sampai, packing aman, produknya juara.","barangnya cepat sampai, packing aman, produknya juara.",positif,TikTok,2026-04-09 08:38:03
Rumah Rawon hadirr Dokk :D,rumah rawon hadirr dokk d,netral,X (Twitter),2026-04-06 12:23:03
"Barangnya cepat sampai, packing aman, produknya juara.","barangnya cepat sampai, packing aman, produknya juara.",positif,X (Twitter),2026-03-23 04:51:03
"Bintang 5 pokoknya, scarlett emang gak pernah gagal.","bintang 5 pokoknya, scarlett emang gak pernah gagal.",positif,TikTok,2026-04-19 17:16:03
lucu banget kk messie tambah cantik aja kk,lucu banget kk messie tambah cantik aja kk,positif,TikTok,2026-04-05 00:21:03
ci beli satu set slemnya di mana ci,ci beli satu set slemnya di mana ci,netral,TikTok,2026-03-27 09:50:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,TikTok,2026-04-04 02:01:03
"Marketingnya aja yang kenceng, kualitasnya zonk.","marketingnya aja yang kenceng, kualitasnya zonk.",negatif,X (Twitter),2026-04-03 22:45:03
"Efeknya langsung kerasa di pemakaian pertama, mantap!","efeknya langsung kerasa di pemakaian pertama, mantap!",positif,Instagram,2026-04-10 11:52:03
makin sering muncul makin banyak kontroversi juga,makin sering muncul makin banyak kontroversi juga,netral,Instagram,2026-03-24 01:11:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,Instagram,2026-04-03 09:52:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,TikTok,2026-04-01 08:23:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,TikTok,2026-03-23 00:01:03
"Nyesel banget beli, katanya overclaim ya? Gak ngefek di aku.","nyesel banget beli, katanya overclaim ya? gak ngefek di aku.",negatif,X (Twitter),2026-04-09 15:32:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,X (Twitter),2026-03-22 04:14:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,X (Twitter),2026-04-19 11:57:03
vanessa udah lama nggak unboxing barang rendem lagi aku kangen nian kak misi barangbarang rendem lagi,vanessa udah lama nggak unboxing barang rendem lagi aku kangen nian kak misi barangbarang rendem lagi,netral,Instagram,2026-03-20 21:35:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,X (Twitter),2026-03-22 00:17:03
"Bintang 5 pokoknya, scarlett emang gak pernah gagal.","bintang 5 pokoknya, scarlett emang gak pernah gagal.",positif,Instagram,2026-04-17 12:58:03
Produk import akan kalah jika para influencer memberi panggung pada produk unggulan Indonesia,produk import akan kalah jika para influencer memberi panggung pada produk unggulan indonesia,netral,Instagram,2026-04-18 23:04:03
Rekomen dong skinker yg aman merk apa dok,rekomen dong skinker yg aman merk apa dok,netral,X (Twitter),2026-04-10 17:57:03
"Kapok beli skincare ini, mending beli brand lain yang lebih jujur.","kapok beli skincare ini, mending beli brand lain yang lebih jujur.",negatif,X (Twitter),2026-04-14 10:44:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,X (Twitter),2026-03-28 12:35:03
slime jadi galwaop,slime jadi galwaop,netral,X (Twitter),2026-04-03 21:57:03
Produknya original dan cocok di kulit aku yang sensitif.,produknya original dan cocok di kulit aku yang sensitif.,positif,Instagram,2026-04-17 18:35:03
bagus nih dokjadi tau klo beli di supermarket mana skincare yang bagus mana yang enggak,bagus nih dokjadi tau klo beli di supermarket mana skincare yang bagus mana yang enggak,positif,X (Twitter),2026-04-07 21:31:03
Katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,negatif,Instagram,2026-03-22 00:16:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,TikTok,2026-04-04 03:43:03
"liat komen2 jadi lucu, ada yang masih belain yang sebelah, padahal udah jelas banget hasilnya ngerusak kulit, walau dia sharing mengenai produk yang lain bagus donk jadi masyarakat jadi teredukasi mana produk yang bagus dan tidak bagus.",liat komen2 jadi lucu ada yang masih belain yang sebelah padahal udah jelas banget hasilnya ngerusak kulit walau dia sharing mengenai produk yang lain bagus donk jadi masyarakat jadi teredukasi mana produk yang bagus dan tidak bagus,positif,X (Twitter),2026-04-20 06:42:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,Instagram,2026-04-18 08:45:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,Instagram,2026-03-30 12:46:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,Instagram,2026-04-08 12:52:03
"Alhamdulillah cocok, mukaku jadi lebih cerah sekarang.","alhamdulillah cocok, mukaku jadi lebih cerah sekarang.",positif,X (Twitter),2026-04-07 18:03:03
"Nyesel banget beli, katanya overclaim ya? Gak ngefek di aku.","nyesel banget beli, katanya overclaim ya? gak ngefek di aku.",negatif,Instagram,2026-04-18 05:35:03
Muka aku malah jadi breakout parah setelah pake ini.,muka aku malah jadi breakout parah setelah pake ini.,negatif,X (Twitter),2026-04-02 03:05:03
Ini mah mau promoooo produk lain tapi caranya jatuhin orang lain. auto skipppppp,ini mah mau promoooo produk lain tapi caranya jatuhin orang lain auto skipppppp,netral,TikTok,2026-04-12 16:31:03
Katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,negatif,TikTok,2026-03-29 09:40:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,TikTok,2026-04-19 23:55:03
"Marketingnya aja yang kenceng, kualitasnya zonk.","marketingnya aja yang kenceng, kualitasnya zonk.",negatif,X (Twitter),2026-04-09 09:22:03
ahh moisturiser pavorit aq,ahh moisturiser pavorit aq,netral,X (Twitter),2026-04-15 04:33:03
toner apa dok yg bagus di supermarket,toner apa dok yg bagus di supermarket,positif,Instagram,2026-04-19 11:58:03
"Bagus banget, udah botol ketiga tetap cinta.","bagus banget, udah botol ketiga tetap cinta.",positif,X (Twitter),2026-04-04 22:00:03
"Produknya bikin kulit panas, gak cocok sama sekali.","produknya bikin kulit panas, gak cocok sama sekali.",negatif,Instagram,2026-04-17 19:18:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,X (Twitter),2026-04-03 09:56:03
"Nyesel banget beli, katanya overclaim ya? Gak ngefek di aku.","nyesel banget beli, katanya overclaim ya? gak ngefek di aku.",negatif,X (Twitter),2026-04-16 08:14:03
"Ya kan berawal dr produk salah, bikin tambah rusak otomatis kudu ada produk yg memperbaiki kan jd ya emang kelihatan iklan produk baru, tp gpp kalau tujuannya untuk memperbaiki yg rusak, bukan yg justru tambah bikin rusak",ya kan berawal dr produk salah bikin tambah rusak otomatis kudu ada produk yg memperbaiki kan jd ya emang kelihatan iklan produk baru tp gpp kalau tujuannya untuk memperbaiki yg rusak bukan yg justru tambah bikin rusak,netral,Instagram,2026-03-26 05:12:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,X (Twitter),2026-03-27 07:12:03
Katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,katanya mencerahkan tapi udah sebulan gak ada perubahan sama sekali.,negatif,TikTok,2026-03-21 14:22:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,TikTok,2026-04-10 08:27:03
"Jangan percaya iklan, ini cuma overclaim doang harganya mahal.","jangan percaya iklan, ini cuma overclaim doang harganya mahal.",negatif,X (Twitter),2026-04-07 23:29:03
setahuku tergantung dr brt badan bun dl wkt bb ku 55  tb 160 y kecil tp bgtu bb ku 73  jd gede,setahuku tergantung dr brt badan bun dl wkt bb ku 55  tb 160 y kecil tp bgtu bb ku 73  jd gede,netral,TikTok,2026-03-24 18:51:03
"Jangan percaya iklan, ini cuma overclaim doang harganya mahal.","jangan percaya iklan, ini cuma overclaim doang harganya mahal.",negatif,Instagram,2026-04-03 17:28:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,TikTok,2026-04-16 15:41:03
"Marketingnya aja yang kenceng, kualitasnya zonk.","marketingnya aja yang kenceng, kualitasnya zonk.",negatif,TikTok,2026-04-02 20:09:03
kak messi pengen di sapa ,kak messi pengen di sapa ,netral,TikTok,2026-03-20 12:00:03
Muka aku malah jadi breakout parah setelah pake ini.,muka aku malah jadi breakout parah setelah pake ini.,negatif,TikTok,2026-04-19 15:01:03
gaje,gaje,netral,X (Twitter),2026-03-30 00:47:03
warnain kek biar bagus,warnain kek biar bagus,positif,Instagram,2026-03-27 09:42:03
"Teksturnya ringan dan gampang meresap, suka!","teksturnya ringan dan gampang meresap, suka!",positif,Instagram,2026-04-14 00:13:03
"Jngn trkhir donk msih bnyk crem lainnya
... abs atau ameera bhya ga dok?","jngn trkhir donk msih bnyk crem lainnya
 abs atau ameera bhya ga dok",netral,Instagram,2026-03-25 07:39:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,X (Twitter),2026-04-08 17:28:03
ka bisa loh dari celey,ka bisa loh dari celey,netral,Instagram,2026-04-07 09:40:03
Overclaim parah! Cuma menang di kemasan doang.,overclaim parah! cuma menang di kemasan doang.,negatif,Instagram,2026-04-14 16:43:03
kak nambahin nya jgn banyak,kak nambahin nya jgn banyak,netral,Instagram,2026-03-27 19:58:03
"Barangnya cepat sampai, packing aman, produknya juara.","barangnya cepat sampai, packing aman, produknya juara.",positif,Instagram,2026-03-25 22:15:03
"Gak nyesel beli ini, harganya worth it banget sama kualitasnya.","gak nyesel beli ini, harganya worth it banget sama kualitasnya.",positif,X (Twitter),2026-04-04 16:43:03
Muka aku malah jadi breakout parah setelah pake ini.,muka aku malah jadi breakout parah setelah pake ini.,negatif,Instagram,2026-04-16 04:38:03
ka meissie bicara ya lucu banget ,ka meissie bicara ya lucu banget ,positif,Instagram,2026-04-06 20:09:03
Asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,asli ini bagus buat yang mau mencerahkan secara perlahan tapi pasti.,positif,TikTok,2026-03-25 21:30:03
"Suka banget sama hasilnya, beneran glowing!","suka banget sama hasilnya, beneran glowing!",positif,TikTok,2026-04-03 14:20:03
ulan,ulan,netral,X (Twitter),2026-03-26 13:56:03
"Marketingnya aja yang kenceng, kualitasnya zonk.","marketingnya aja yang kenceng, kualitasnya zonk.",negatif,TikTok,2026-04-11 11:59:03
"Gak nyesel beli ini, harganya worth it banget sama kualitasnya.","gak nyesel beli ini, harganya worth it banget sama kualitasnya.",positif,TikTok,2026-04-03 06:08:03
"Kapok beli skincare ini, mending beli brand lain yang lebih jujur.","kapok beli skincare ini, mending beli brand lain yang lebih jujur.",negatif,TikTok,2026-04-17 20:15:03
"Kecewa banget, baunya aneh dan bikin kulit gatal.","kecewa banget, baunya aneh dan bikin kulit gatal.",negatif,X (Twitter),2026-03-29 12:46:03
"Gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.","gak rekomen buat yang kulitnya berminyak, malah jadi jerawatan.",negatif,Instagram,2026-04-17 16:40:03
